Material,configuration_type,n_value,M_combination,M1,M2,M3,M4,X,Tx,Termination_Binding_Energy,dBand_Center,Density_of_States,Heat_of_Formation,Bulk_Modulus,Magnetic,Work_Function,Band_Gap,Dynamically_stable,bool_Magnetic,Band_Gap_thresh,bool_Dynamically_stable,HoF_stability
Zr2W1Hg1As3,ABC,n3,2-1-1,Zr,W,Hg,nan,As,none,-4.8057,-1.3222,3.0852,-0.2587,111.0342,-0.0,4.6219,0.1859,-9.8015,False,0.1859,True,Metastable
Os10C9O2,ABA-h,n9,10,Os,nan,nan,nan,C,O,-4.6183,-1.7231,2.6146,0.2522,342.2946,-0.0,5.302,0.171,-5.6786,False,0.171,True,Unstable
Os10C9N2,ABA-h,n9,10,Os,nan,nan,nan,C,N,-3.621,-1.8142,2.5682,0.393,370.1064,-0.0003,5.1626,0.1834,-7.6774,False,0.1834,True,Unstable
Zr2W1Cu1Sb3,ABC,n3,2-1-1,Zr,W,Cu,nan,Sb,none,-4.7251,-1.4208,3.2005,-0.1095,72.373,-0.0,4.6866,0.1163,-26.9429,False,0.1163,True,Metastable
Zr2W1Ce1Sb3,ABC,n3,2-1-1,Zr,W,Ce,nan,Sb,none,-5.1303,-1.6244,3.1759,-0.1804,98.8818,-0.0,4.4984,0.2826,-14.4452,False,0.2826,True,Metastable
Zn8O7N2,ABA-hX,n7,8,Zn,nan,nan,nan,O,N,-8.3669,-1.6508,3.0048,-1.2115,155.6514,0.0,6.5721,0.1942,-0.0079,False,0.1942,False,Highly_stable
Sc2Nb2Tc2Co1Sn6,ABA,n6,2-2-2-1,Sc,Nb,Tc,Co,Sn,none,-5.2314,-1.2812,3.1445,-0.2591,108.6207,0.0,4.4271,-0.0365,-10.4261,False,0.0,True,Metastable
Zr2Ta1Re1Se3,ABC,n3,2-1-1,Zr,Ta,Re,nan,Se,none,-6.1903,-1.792,2.5651,-0.5708,86.3003,-0.0,4.775,-0.0027,-11.8267,False,0.0,True,Stable
Sc3B2I2,ABA-hX,n2,3,Sc,nan,nan,nan,B,I,-3.5414,-1.3649,2.5055,-0.4523,65.0373,0.0,4.0149,0.0899,-66.3243,False,0.0899,True,Metastable
Os10C9H2O2,ABA-h,n9,10,Os,nan,nan,nan,C,HO,-3.3227,-1.6465,2.6622,0.2307,314.9971,-0.0,4.4795,0.1714,-5.4059,False,0.1714,True,Unstable
Os10C9H2N2,ABA-h,n9,10,Os,nan,nan,nan,C,HN,-3.133,-1.7668,2.3294,0.3694,338.6507,-0.0,4.6507,0.178,-7.4012,False,0.178,True,Unstable
W10C9N2,ABC-hX,n9,10,W,nan,nan,nan,C,N,-3.0364,-2.1461,2.132,0.6743,246.6443,0.0,5.1946,0.0661,-0.0004,False,0.0661,False,Unstable
At10Se9Se2,ABC-hX,n9,10,At,nan,nan,nan,Se,Se,-5.9625,-1.6754,2.2696,-0.3511,7.7298,-0.0,5.2105,0.2877,-0.8434,False,0.2877,True,Metastable
Cr1Cd1C1H2I2,ABC-hX,n1,1-1,Cr,Cd,nan,nan,C,HI,-1.0134,-1.047,2.914,0.0719,81.233,-1.0126,2.7359,0.1921,-16.276,True,0.1921,True,Unstable
Os10C9H2,ABA-h,n9,10,Os,nan,nan,nan,C,H,-3.0419,-1.5803,2.6659,0.4472,344.6686,-0.0005,4.1888,0.1663,-4.8952,False,0.1663,True,Unstable
Cr1Ag1C1H2I2,ABC-hX,n1,1-1,Cr,Ag,nan,nan,C,HI,-0.4399,-0.9884,3.4355,0.2347,84.9726,-0.3632,2.688,0.1268,-10.7903,False,0.1268,True,Unstable
Cr1Ag1B1H2I2,ABC-hX,n1,1-1,Cr,Ag,nan,nan,B,HI,-0.5724,-0.9937,3.507,0.1266,70.7273,-0.0013,2.6878,0.133,-11.4063,False,0.133,True,Unstable
At10Se9S2,ABC-hX,n9,10,At,nan,nan,nan,Se,S,-6.0798,-1.7382,2.1679,-0.3495,8.4426,-0.0,5.2862,0.2998,-0.9147,False,0.2998,True,Metastable
Os10C9F2O2,ABA-h,n9,10,Os,nan,nan,nan,C,FO,-5.1703,-1.7604,2.4937,0.1484,316.693,-0.0001,5.3603,0.1684,-5.4809,False,0.1684,True,Unstable
At10Se9I2Se2,ABC-hX,n9,10,At,nan,nan,nan,Se,ISe,-5.4582,-1.5831,2.2198,-0.3347,8.2958,-0.0,5.0666,0.334,-1.8599,False,0.334,True,Metastable
At10Se9I2S2,ABC-hX,n9,10,At,nan,nan,nan,Se,IS,-5.5715,-1.6431,2.1104,-0.3305,8.4171,-0.0,5.209,0.3609,-1.8322,False,0.3609,True,Metastable
W10C9H2N2,ABC-hX,n9,10,W,nan,nan,nan,C,HN,-2.5704,-2.0624,2.1182,0.6298,241.1733,0.0,4.6921,0.0656,-0.0008,False,0.0656,False,Unstable
Zr2Re1Pb1Sb3,ABC,n3,2-1-1,Zr,Re,Pb,nan,Sb,none,-5.41,-1.5533,3.1992,-0.2325,98.9357,-0.0,4.4751,0.161,-32.1565,False,0.161,True,Metastable
Os10C9Cl2O2,ABA-h,n9,10,Os,nan,nan,nan,C,ClO,-4.8779,-1.6884,2.5345,0.1496,315.1106,-0.0001,5.1746,0.1913,-5.1999,False,0.1913,True,Unstable
Zr2Re1Lu1Te3,ABC,n3,2-1-1,Zr,Re,Lu,nan,Te,none,-5.2686,-1.5149,2.8399,-0.3096,63.6975,0.0,4.2974,0.031,-14.2439,False,0.0,True,Metastable
Hf7Rh1U1Ge1O9F2,ABA-h,n9,7-1-1-1,Hf,Rh,U,Ge,O,F,-9.9645,-2.2429,2.2608,-1.4686,143.7867,-0.0006,5.085,0.0549,-2.5359,False,0.0549,True,Highly_stable
Zr2Re1Cd1Te3,ABC,n3,2-1-1,Zr,Re,Cd,nan,Te,none,-5.1767,-1.3439,3.0514,-0.3131,71.2331,0.0,4.4861,0.0494,-9.86,False,0.0,True,Metastable
Zr2Re1Bi1Bi3,ABC,n3,2-1-1,Zr,Re,Bi,nan,Bi,none,-5.4567,-1.7211,2.9621,-0.2577,69.8773,-0.0,4.4953,0.0511,-37.8839,False,0.0511,True,Metastable
Os10C9Br2O2,ABA-h,n9,10,Os,nan,nan,nan,C,BrO,-4.7965,-1.6628,2.5651,0.1747,310.4031,-0.0003,5.2308,0.2378,-4.4463,False,0.2378,True,Unstable
Zr2Pt1Np1B3,ABC,n3,2-1-1,Zr,Pt,Np,nan,B,none,-4.9391,-1.5121,3.0726,-0.2506,135.1546,-0.0,4.8241,0.1338,-26.111,False,0.1338,True,Metastable
